Reference, Quantity, Value, Footprint, Datasheet
C14 C18 C69 C73 ,4,"1u","Capacitors_SMD:C_0603",""
C15 C70 ,2,"100p","Capacitors_SMD:C_0603",""
C16 C71 ,2,"470p","Capacitors_SMD:C_0603",""
C13 C17 C19 C20 C68 C72 C74 C75 ,8,"NS","Capacitors_SMD:C_0603",""
C21 C76 ,2,"10p","Capacitors_SMD:C_0603",""
C22 C77 ,2,"3p9","Capacitors_SMD:C_0603",""
C23 C78 ,2,"5p1","Capacitors_SMD:C_0603",""
C24 C79 ,2,"11p","Capacitors_SMD:C_0603",""
C25 C80 C89 C90 C96 ,5,"4u7","Capacitors_SMD:C_0603",""
C11 C26 C66 C81 ,4,"5p6","Capacitors_SMD:C_0603",""
C10 C12 C27 C28 C65 C67 C82 C83 ,8,"4p3","Capacitors_SMD:C_0603",""
C29 C30 C31 C84 C85 C86 ,6,"10n","Capacitors_SMD:C_0603",""
C32 C33 ,2,"470n","Capacitors_SMD:C_0603",""
C34 C35 ,2,"1000p","Capacitors_SMD:C_0603",""
C36 C37 ,2,"10u","Capacitors_SMD:C_0603",""
C38 C39 ,2,"22u","Capacitors_SMD:C_0603",""
C1 C2 C3 C4 C40 C41 C42 C43 C44 C45 C46 C47 C48 C49 C5 C50 C51 C52 C53 C54 C55 C56 C57 C58 C59 C6 C60 C61 C62 C63 C64 C7 C8 C9 C91 C92 C93 C94 C97 ,39,"100n","Capacitors_SMD:C_0603",""
C87 C88 C95 ,3,"15u","Capacitors_SMD:C_0603",""
D1 D4 D8 D9 ,4,"RED","LEDs:LED_0603",""
D2 D3 ,2,"GREEN","LEDs:LED_0603",""
D5 ,1,"YEL","LEDs:LED_0603",""
D6 ,1,"GRN","LEDs:LED_0603",""
H1 H2 H3 H4 ,4,"CUBESAT_MOUNT_HOLE","amsat_misc:CUBESAT_MOUNT_HOLE",""
J1 ,1,"QSH-030-01-L-D-A","amsat_samtec:QSH-030-01-L-D-A",""
J2 ,1,"QTH-030-02-L-D-A","amsat_samtec:QTH-030-02-L-D-A",""
J3 J4 ,2,"CONN_02X05","amsat_samtec:FTSH-105-01-L-DV-K",""
J5 J6 ,2,"CONN_01X04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
L10 L11 L28 L29 ,4,"27n","amsat_murata:L_0603",""
L12 L13 L2 L20 L30 L31 ,6,"43n","amsat_murata:L_0603",""
L1 L14 L15 L19 L32 L33 ,6,"100n","amsat_murata:L_0603",""
L17 L18 L35 L36 L37 ,5,"3u3","amsat_murata:L_0603",""
L21 L3 ,2,"4n7","amsat_murata:L_0603",""
L22 L4 ,2,"18n","amsat_murata:L_0603",""
L23 L5 ,2,"1n2","amsat_murata:L_0603",""
L16 L25 L34 L7 ,4,"0R","amsat_murata:L_0603",""
L24 L26 L6 L8 ,4,"12n","amsat_murata:L_0603",""
L27 L9 ,2,"3n9","amsat_murata:L_0603",""
P1 P2 P3 P4 ,4,"SMA","amsat_misc:MMCX",""
R11 R12 R29 R31 ,4,"4k7","Resistors_SMD:R_0603",""
R14 R30 ,2,"24k","Resistors_SMD:R_0603",""
R10 R15 R16 R17 R25 R26 R27 R36 ,8,"270","Resistors_SMD:R_0603",""
R1 R2 R22 R23 R24 R3 R37 R38 R39 ,9,"3k3","Resistors_SMD:R_0603",""
R18 R20 ,2,"420R","Resistors_SMD:R_0603",""
R19 R21 ,2,"10k","Resistors_SMD:R_0603",""
R32 R4 ,2,"330R","Resistors_SMD:R_0603",""
R33 R5 ,2,"1k5","Resistors_SMD:R_0603",""
R13 R28 R34 R35 R40 R41 R42 R43 R6 R7 ,10,"0R","Resistors_SMD:R_0603",""
R8 R9 ,2,"100R","Resistors_SMD:R_0603",""
SH1 SH10 SH11 SH12 SH2 SH3 SH4 SH5 SH6 SH7 SH8 SH9 ,12,"RF_SHIELD_PAD","amsat_misc:RF_SHIELD_PAD",""
TP1 TP2 ,2,"CONN_01X01","Pin_Headers:Pin_Header_Straight_1x01_Pitch2.54mm",""
U1 U21 ,2,"TMS570LS0914PGE","amsat_ti:TQFP-144_20x20mm_Pitch0.5mm",""
U10 U24 ,2,"MR25H40","amsat_everspin:MR2xH40_DFN_SmallFlag",""
U11 ,1,"SN74AC00","Housings_SSOP:SSOP-14_5.3x6.2mm_Pitch0.65mm",""
U12 ,1,"SN74AC74","Housings_SSOP:SSOP-14_5.3x6.2mm_Pitch0.65mm",""
U13 U14 U15 U16 U19 U20 ,6,"SN74CBTLV3245A","amsat_ti:RGY_R-PVQFN-N20",""
U17 U18 ,2,"LTV-217-C-G","amsat_liteon:LTV-217",""
U2 U25 ,2,"MMZ09312BT1","amsat_nxp:QFN12",""
U28 ,1,"LT1963A","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
U26 U3 ,2,"AX5043","amsat_onsemi:QFN28",""
U29 U30 ,2,"FPF2001","TO_SOT_Packages_SMD:SC-70-5",""
U27 U31 ,2,"LT1963A-3.3","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
U4 U5 ,2,"MAX1556A","amsat_maxim:TDFN_T1033_1",""
U6 U7 ,2,"MAX4795","TO_SOT_Packages_SMD:SOT-23-5",""
U22 U8 ,2,"MAX3051","SMD_Packages:SOIC-8-N",""
U23 U9 ,2,"MAX31725","amsat_maxim:TDFN_T833_2",""
Y1 Y2 ,2,"16M","amsat_abracon:Crystal_SMD_ABM9",""